episode,timestep,reward,length
1,1000,0.037129587285046894,1000
2,2000,-0.03999747678269955,1000
3,3000,-0.3532135153320828,1000
4,4000,-0.1889704844597591,1000
5,5000,0.22268007570938608,1000
6,6000,-1.0310648092027948,1000
7,7000,0.2221928282468858,1000
8,8000,-0.2145856784036329,1000
9,9000,1.0998015838821826,1000
10,10000,-1.1745693003413993,1000
11,11000,0.6291097689702965,1000
12,12000,0.36451393316857844,1000
13,13000,0.8166687911535329,1000
14,14000,0.04623459948434912,1000
15,15000,0.07637284391008581,1000
16,16000,-0.3080303179855232,1000
17,17000,1.234297235435952,1000
18,18000,-0.4526777221159408,1000
19,19000,-0.565603324981301,1000
20,20000,0.74674007436659,1000
21,21000,0.47680555339262004,1000
22,22000,0.6173227183084518,1000
23,23000,0.2002357820483066,1000
24,24000,-0.568934542842987,1000
25,25000,-0.36946151287977413,1000
26,26000,-0.2824495711688613,1000
27,27000,-0.1415648617263695,1000
28,28000,-0.32759715627806746,1000
29,29000,-0.5854848549995973,1000
30,30000,-0.2358030336337269,1000
31,31000,-0.8244991492792462,1000
32,32000,-0.5833521061491884,1000
33,33000,0.3562014649311627,1000
34,34000,-0.13306082014570425,1000
35,35000,-1.6323786168696703,1000
36,36000,0.9516026620254203,1000
37,37000,0.3158519277745621,1000
38,38000,-0.5832821527475271,1000
39,39000,-1.0289039585248871,1000
40,40000,-0.4344902841678637,1000
41,41000,-2.139714645112119,1000
42,42000,-0.7187473686278747,1000
43,43000,-0.22300606158618494,1000
44,44000,-1.3969614799198635,1000
45,45000,-0.19384490005764515,1000
46,46000,-0.7298940141242924,1000
47,47000,0.356896543416631,1000
48,48000,-0.1338731023473247,1000
49,49000,-1.5101849644880003,1000
50,50000,-1.5314148233641145,1000
51,51000,-2.855712607152089,1000
52,52000,-2.398527226094199,1000
53,53000,-0.5272551560887018,1000
54,54000,-2.4728686806152003,1000
55,55000,0.07424287496926472,1000
56,56000,-1.9222153225563212,1000
57,57000,-2.6779046499226307,1000
58,58000,-1.042755156447664,1000
59,59000,0.10998298000041125,1000
60,60000,0.662622066169363,1000
61,61000,-0.5660631122322203,1000
62,62000,0.014669453448325372,1000
63,63000,0.23776961697131205,1000
